hospital_id,timestamp,current_occupancy,staff_on_duty,avg_discharge_rate,emergency_incoming,target_prob
103,2023-01-01 00:00:00,0.8508815141002803,19,0.26491222917275115,7,0.3291154961973105
104,2023-01-01 01:00:00,0.7995951708815008,5,0.10674678361593712,8,0.3847892804191113
104,2023-01-01 02:00:00,0.4847082084058614,11,0.15881913055895405,0,0.6955871462823451
102,2023-01-01 03:00:00,0.9082605848179632,17,0.27791478978706774,1,0.3369577926373313
102,2023-01-01 04:00:00,0.44032525756406404,13,0.4563619425633886,6,0.5142980961804
101,2023-01-01 05:00:00,0.36968160270430506,11,0.41750424163970445,0,0.7797918578347655
102,2023-01-01 06:00:00,0.6542908068394087,5,0.5404605396073593,4,0.39793721500577545
103,2023-01-01 07:00:00,0.8786081905661802,6,0.10952453183611491,5,0.280629397966471
101,2023-01-01 08:00:00,0.4268403649451206,11,0.3689023390006755,7,0.5116329715296856
104,2023-01-01 09:00:00,0.7285225528338057,11,0.4973287142597643,7,0.3885976043357218
103,2023-01-01 10:00:00,0.7188005034707384,16,0.197459713970866,0,0.5491927601203046
101,2023-01-01 11:00:00,0.5703335108212347,14,0.18651649056790684,8,0.5010872464819036
103,2023-01-01 12:00:00,0.36820604616048963,13,0.19896413218428918,6,0.7168530121821898
101,2023-01-01 13:00:00,0.49581530248335454,11,0.1295171415009184,3,0.6071716141728537
104,2023-01-01 14:00:00,0.35712154689995984,8,0.5379067501080435,1,0.7138529568966603
104,2023-01-01 15:00:00,0.7467799553852931,9,0.5981322418027091,1,0.5043748297770715
103,2023-01-01 16:00:00,0.8374782404862329,12,0.18942282220987958,6,0.3209689675376682
102,2023-01-01 17:00:00,0.8698633682592658,10,0.49313573647720643,3,0.35015416990393794
102,2023-01-01 18:00:00,0.7306002812382586,6,0.29664700487326856,9,0.2663913346600076
104,2023-01-01 19:00:00,0.5425885139066269,14,0.19078075696193633,10,0.5264085746730349
102,2023-01-01 20:00:00,0.7135727097679971,10,0.21334338816620144,1,0.5612204395097946
101,2023-01-01 21:00:00,0.7424297180925287,10,0.3893318694447543,8,0.42044138522023305
103,2023-01-01 22:00:00,0.7106031378967442,6,0.21677928603779476,3,0.47170716601999907
104,2023-01-01 23:00:00,0.9053236295147398,10,0.3093905721018003,1,0.3483902606309562
102,2023-01-02 00:00:00,0.5631085030470464,7,0.16458821659001585,4,0.5133310170708574
104,2023-01-02 01:00:00,0.8527677367901156,7,0.2695464937180758,6,0.381635326043519
102,2023-01-02 02:00:00,0.7327453171340798,6,0.2594067883261745,10,0.34829197728599315
103,2023-01-02 03:00:00,0.43774456603311673,19,0.2748444181470542,6,0.561965291185759
101,2023-01-02 04:00:00,0.617436766794413,18,0.18181119262591264,4,0.5763920938774857
104,2023-01-02 05:00:00,0.4969373316143971,15,0.502967786268474,7,0.5832212263112454
102,2023-01-02 06:00:00,0.5509431107003686,14,0.3540706478030179,9,0.4425344090062991
102,2023-01-02 07:00:00,0.9049783002636214,11,0.15636752570922421,10,0.16087183783909498
103,2023-01-02 08:00:00,0.3629002170160261,12,0.24576118217517426,0,0.8301021522964205
102,2023-01-02 09:00:00,0.3478929545732443,20,0.3701418640614039,8,0.6444744663646128
102,2023-01-02 10:00:00,0.6042498539269033,5,0.40626069789810837,3,0.4664294009573902
104,2023-01-02 11:00:00,0.6886063373514517,13,0.565241202755022,10,0.3485356251724441
102,2023-01-02 12:00:00,0.41970979216782345,17,0.3276337343950386,1,0.7060626279946033
103,2023-01-02 13:00:00,0.7082936669286239,9,0.5413281873276536,1,0.5415506007215152
102,2023-01-02 14:00:00,0.4182545817866006,19,0.4345868597318099,1,0.7231469281331709
104,2023-01-02 15:00:00,0.6252211026442833,5,0.5192142827255696,8,0.48864259988043124
104,2023-01-02 16:00:00,0.7136672901466017,13,0.29137742078090856,1,0.47318649996059886
103,2023-01-02 17:00:00,0.6510938671149966,19,0.49828657228942574,5,0.4171857029329612
104,2023-01-02 18:00:00,0.4159020780322076,15,0.3021589303675529,4,0.5777749632692138
102,2023-01-02 19:00:00,0.5949836775267331,19,0.16736760868077358,10,0.4942642950193966
102,2023-01-02 20:00:00,0.5723606614492642,14,0.3282407526799551,2,0.6027338447389103
104,2023-01-02 21:00:00,0.6162642180372033,14,0.5443775119074525,7,0.49218919163718816
104,2023-01-02 22:00:00,0.34942000255086597,19,0.4479127999585234,0,0.7636062612817064
101,2023-01-02 23:00:00,0.9471439373297501,15,0.5923956428965347,5,0.3040013495770766
104,2023-01-03 00:00:00,0.4712411132737222,15,0.45103185284539093,4,0.6558342154713499
101,2023-01-03 01:00:00,0.4783711034372188,20,0.46417921613880897,9,0.5580379080390735
104,2023-01-03 02:00:00,0.8604293967759664,20,0.5840518545499966,9,0.19314134732335364
101,2023-01-03 03:00:00,0.38319733905735087,15,0.4195952413573669,0,0.6486363733985571
102,2023-01-03 04:00:00,0.822400154960081,19,0.49377206523299055,1,0.35659469511896874
103,2023-01-03 05:00:00,0.8396667708762524,15,0.10812585163919183,6,0.2908587166784554
101,2023-01-03 06:00:00,0.551609123306567,9,0.5342181088927282,3,0.6238973617898025
103,2023-01-03 07:00:00,0.32517465622581543,9,0.48454616492108826,0,0.8451020871694326
102,2023-01-03 08:00:00,0.8178667781590423,13,0.23170352729755098,9,0.3771872540129032
102,2023-01-03 09:00:00,0.5434860963243111,20,0.3777949976759831,2,0.5069318964252153
104,2023-01-03 10:00:00,0.7180531700897286,9,0.5991139952029848,5,0.3844201677240841
103,2023-01-03 11:00:00,0.5421835496230265,11,0.389381816650778,4,0.6319253240075612
101,2023-01-03 12:00:00,0.6296834392530952,10,0.28000848257016986,0,0.5702389319564455
103,2023-01-03 13:00:00,0.6029675814710155,19,0.12745370685517685,7,0.5644077563556996
102,2023-01-03 14:00:00,0.6698803478057838,12,0.5838412361806627,3,0.452053441943417
102,2023-01-03 15:00:00,0.6831991266206439,9,0.23131415223729787,1,0.554561488074878
101,2023-01-03 16:00:00,0.32656563757329954,11,0.36072768425103274,7,0.7254746289741805
104,2023-01-03 17:00:00,0.39753083849123927,8,0.47985208495437826,1,0.7672849576500446
101,2023-01-03 18:00:00,0.7838837175306619,8,0.589267871026882,4,0.456598614343576
103,2023-01-03 19:00:00,0.7262021912701512,6,0.4966814182699264,8,0.34681062893484943
101,2023-01-03 20:00:00,0.8748519469017562,7,0.3045527273627894,6,0.25038831852704735
103,2023-01-03 21:00:00,0.3791038934517047,12,0.3895209545369368,8,0.6634102198588703
103,2023-01-03 22:00:00,0.38786032733702414,14,0.31103014452261557,6,0.6858141734965273
102,2023-01-03 23:00:00,0.5521939202583562,16,0.426243163462226,6,0.45290964710852344
104,2023-01-04 00:00:00,0.39459100761219845,18,0.4115958951396155,5,0.7421857908557077
103,2023-01-04 01:00:00,0.8455205369291783,6,0.43381845060240964,0,0.32825470078149777
103,2023-01-04 02:00:00,0.8955177452454495,20,0.10518122415497952,4,0.36237538675194975
104,2023-01-04 03:00:00,0.6148197522799903,10,0.4807750894866676,6,0.5223560783155169
104,2023-01-04 04:00:00,0.31450156250395744,20,0.4252160406340455,10,0.6247691979855556
104,2023-01-04 05:00:00,0.6081578949553601,6,0.4942646504825903,5,0.43083453126841276
103,2023-01-04 06:00:00,0.44924240284881795,12,0.384820342875417,8,0.478565084454541
104,2023-01-04 07:00:00,0.7865016433619598,20,0.14120189072249037,3,0.3487389001992589
104,2023-01-04 08:00:00,0.6301597190726269,20,0.4631791060174415,0,0.5279205006484744
103,2023-01-04 09:00:00,0.6597905982459498,11,0.3683023588883675,8,0.34668317670791693
104,2023-01-04 10:00:00,0.3011585492610441,11,0.5994622301744872,5,0.7686597650504342
102,2023-01-04 11:00:00,0.3014825878004702,14,0.5612084501339635,4,0.7688084537186693
102,2023-01-04 12:00:00,0.6673086291249243,10,0.41838040183259817,3,0.5831081291027371
101,2023-01-04 13:00:00,0.7400904205007046,8,0.1286877304811712,4,0.43057959755542996
104,2023-01-04 14:00:00,0.7731018704920494,16,0.17771232971790876,10,0.22997829114747986
101,2023-01-04 15:00:00,0.8245092139272534,8,0.21282777996038885,4,0.3695736062264349
102,2023-01-04 16:00:00,0.5213155996885614,13,0.4922768987486228,2,0.5764972773306974
104,2023-01-04 17:00:00,0.6448821255614804,13,0.3121226093176346,6,0.36990791940880235
104,2023-01-04 18:00:00,0.9231032327941442,18,0.22791605474142082,1,0.26411754631044637
103,2023-01-04 19:00:00,0.4587201314961134,18,0.16162066977489106,4,0.5342220563621135
101,2023-01-04 20:00:00,0.5180807914912824,10,0.5658071469724981,4,0.5006142475759644
101,2023-01-04 21:00:00,0.586187925902621,11,0.5926116714508076,4,0.5456688254213236
104,2023-01-04 22:00:00,0.8038881223025658,6,0.3899839987239425,4,0.3940025781326885
104,2023-01-04 23:00:00,0.5842538639498829,10,0.11117439425960948,10,0.4672868484848314
104,2023-01-05 00:00:00,0.5234577721411015,8,0.28723823879609556,0,0.5427853672609444
102,2023-01-05 01:00:00,0.5537071684585677,12,0.3243838520138923,2,0.5812639086216115
104,2023-01-05 02:00:00,0.7366603248507737,7,0.271871514470051,1,0.39436939837176743
101,2023-01-05 03:00:00,0.5247479826989755,20,0.1386663472708298,9,0.5452276009634164
103,2023-01-05 04:00:00,0.3897548485949914,17,0.4736681898884182,0,0.8162572190050252
104,2023-01-05 05:00:00,0.901651242538416,11,0.41434257689823095,1,0.26239204634893254
103,2023-01-05 06:00:00,0.4804600646641916,11,0.19189171487232196,10,0.5980593638956765
103,2023-01-05 07:00:00,0.5391166192905708,5,0.41446448122946644,3,0.6498494737589746
104,2023-01-05 08:00:00,0.5015189364051166,17,0.12274488319161761,7,0.537864476793515
102,2023-01-05 09:00:00,0.46150550062742535,16,0.5236235029729464,7,0.5988974170056298
104,2023-01-05 10:00:00,0.6483956832975839,13,0.4613560501604026,8,0.3736341149474677
102,2023-01-05 11:00:00,0.7290654593031556,14,0.43879141970063795,6,0.46447290650887696
103,2023-01-05 12:00:00,0.5794270335795885,6,0.10156047733434462,9,0.5082821588419558
103,2023-01-05 13:00:00,0.687619278083414,12,0.1748403836317712,3,0.38663997290642227
104,2023-01-05 14:00:00,0.9355395062281866,12,0.5771426540964731,6,0.3410179209006666
103,2023-01-05 15:00:00,0.30266490825400744,14,0.30687671056223764,2,0.6899123976196591
104,2023-01-05 16:00:00,0.7894418216930135,6,0.5143976044338349,4,0.2918011602570178
102,2023-01-05 17:00:00,0.8984884573083061,6,0.40357675703773466,5,0.33399499767610963
103,2023-01-05 18:00:00,0.7377529214031291,14,0.11192156730879707,9,0.3316020569312855
102,2023-01-05 19:00:00,0.30351510515493996,9,0.4866461430963337,4,0.7981929257420445
102,2023-01-05 20:00:00,0.6703458154845636,6,0.4722501941037428,10,0.35192006057330266
104,2023-01-05 21:00:00,0.8613605780272326,15,0.44467946575935524,7,0.23977996693492168
101,2023-01-05 22:00:00,0.8691080978047951,14,0.4775314936701055,10,0.21141127717373515
103,2023-01-05 23:00:00,0.5456922009706622,19,0.32813014989163003,3,0.5655829273222522
101,2023-01-06 00:00:00,0.3914126789846348,9,0.49071658114540473,8,0.6883139486743896
101,2023-01-06 01:00:00,0.3134232550609361,15,0.39585640910573217,7,0.6335287997313411
104,2023-01-06 02:00:00,0.9454216837399143,5,0.4855303225699231,9,0.16289796474006965
104,2023-01-06 03:00:00,0.35259310336432353,11,0.10348933481281988,1,0.8238571579201066
